,GALAXY_AGN,GALAXY_AGN_BROADLINE,GALAXY_BROADLINE,GALAXY_NORMAL,GALAXY_STARBURST,GALAXY_STARFORMING,QSO_AGN,QSO_AGN_BROADLINE,QSO_BROADLINE,QSO_NORMAL,QSO_STARBURST,QSO_STARBURST_BROADLINE,QSO_STARFORMING,STAR_A0,STAR_A1,STAR_A2,STAR_A4,STAR_A5,STAR_A6,STAR_A8,STAR_A9,STAR_A_METALLIC,STAR_B0,STAR_B1,STAR_B2_B2_5,STAR_B3,STAR_B5,STAR_B8,STAR_B9_B9_5,STAR_BROWN_DWARF_L,STAR_CV,STAR_F0,STAR_F2,STAR_F3,STAR_F5,STAR_F6,STAR_F8,STAR_F9,STAR_G0_G0_5,STAR_G1,STAR_G3,STAR_G4,STAR_G5,STAR_G8,STAR_G9,STAR_K0,STAR_K1,STAR_K2,STAR_K3,STAR_K4,STAR_K5,STAR_M0,STAR_M1,STAR_M2,STAR_M3,STAR_M4_M4_5,STAR_M5,STAR_M6,STAR_M8,STAR_O8,STAR_SUBDWARF_F,STAR_WHITE_DWARF
STAR_K3,0.0,0.0,0.0,0.0021333333333333334,0.0,0.0005333333333333334,0.0,0.0,0.0,0.0005333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0002666666666666667,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0018666666666666666,0.005333333333333333,0.0010666666666666667,0.008266666666666667,0.009866666666666666,0.009066666666666667,0.908,0.010666666666666666,0.03626666666666667,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.0002666666666666667,0.0026666666666666666,0.0016,0.0,0.0
STAR_K4,0.0,0.0,0.0002666666666666667,0.004266666666666667,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0008,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0002666666666666667,0.0,0.0008,0.0,0.0,0.0002666666666666667,0.0002666666666666667,0.0,0.0008,0.0,0.009333333333333334,0.0,0.0408,0.0,0.0013333333333333333,0.0008,0.012533333333333334,0.0048,0.0061333333333333335,0.8962666666666667,0.0064,0.0016,0.0,0.0021333333333333334,0.0,0.0,0.0,0.0005333333333333334,0.008533333333333334,0.0002666666666666667,0.0,0.0
STAR_K5,0.0,0.0,0.0002666666666666667,0.0013333333333333333,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0005333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002666666666666667,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0002666666666666667,0.0,0.0005333333333333334,0.0,0.0005333333333333334,0.0,0.0005333333333333334,0.0,0.0002666666666666667,0.0,0.0026666666666666666,0.0005333333333333334,0.02,0.017066666666666667,0.9282666666666667,0.0024,0.019733333333333332,0.0005333333333333334,0.0,0.0,0.0,0.0002666666666666667,0.0002666666666666667,0.0024,0.0,0.0005333333333333334
STAR_M0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.07317073170731707,0.8292682926829268,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAR_M1,0.0,0.0,0.00034129692832764505,0.0010238907849829352,0.0,0.0,0.0,0.0,0.0,0.00034129692832764505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010238907849829352,0.0,0.0,0.0,0.0,0.0,0.0,0.00034129692832764505,0.0,0.0,0.0,0.00034129692832764505,0.013651877133105802,0.0006825938566552901,0.9385665529010239,0.0,0.03720136518771331,0.005460750853242321,0.0010238907849829352,0.0,0.0,0.0,0.0,0.0
STAR_M2,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.015625,0.09375,0.0,0.09375,0.0,0.703125,0.015625,0.0,0.015625,0.0,0.0,0.0,0.0,0.0
STAR_M3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036488027366020526,0.0017103762827822121,0.9167616875712656,0.042759407069555305,0.002280501710376283,0.0,0.0,0.0,0.0,0.0
STAR_M4_M4_5,0.0,0.0,0.00031240237425804435,0.0012496094970321774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031240237425804435,0.0,0.0,0.0,0.0,0.0,0.0,0.00031240237425804435,0.00031240237425804435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031240237425804435,0.00031240237425804435,0.0,0.0043736332396126214,0.0012496094970321774,0.059044048734770385,0.9000312402374258,0.03155263980006248,0.0,0.0,0.00031240237425804435,0.0,0.00031240237425804435
STAR_M5,0.0,0.0,0.0002666666666666667,0.0005333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0005333333333333334,0.0,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002666666666666667,0.0005333333333333334,0.0,0.0024,0.0002666666666666667,0.0037333333333333333,0.06293333333333333,0.9106666666666666,0.0152,0.0,0.0005333333333333334,0.0,0.0002666666666666667
STAR_M6,0.0,0.0,0.0032520325203252032,0.0016260162601626016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016260162601626016,0.0,0.0,0.0016260162601626016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016260162601626016,0.0,0.0,0.0,0.0,0.01788617886178862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004878048780487805,0.0,0.0032520325203252032,0.0016260162601626016,0.0016260162601626016,0.0,0.0,0.0032520325203252032,0.943089430894309,0.00975609756097561,0.0,0.0016260162601626016,0.0032520325203252032
STAR_M8,0.0,0.0,0.0036968576709796672,0.005545286506469501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018484288354898336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018484288354898336,0.0,0.0,0.0,0.0,0.0,0.06099815157116451,0.0036968576709796672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018484288354898336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018484288354898336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005545286506469501,0.9075785582255084,0.0036968576709796672,0.0,0.0018484288354898336
STAR_O8,0.0,0.0,0.0017667844522968198,0.0035335689045936395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035335689045936395,0.0008833922261484099,0.0,0.0,0.0,0.024734982332155476,0.0017667844522968198,0.0088339222614841,0.022084805653710248,0.0008833922261484099,0.00265017667844523,0.0008833922261484099,0.0,0.0,0.0,0.024734982332155476,0.0,0.00441696113074205,0.0,0.0,0.0,0.0,0.0,0.0008833922261484099,0.0,0.0035335689045936395,0.0,0.006183745583038869,0.0,0.00265017667844523,0.0,0.0,0.0,0.0008833922261484099,0.0017667844522968198,0.0017667844522968198,0.0,0.0,0.0,0.0,0.0,0.0,0.0008833922261484099,0.00265017667844523,0.8754416961130742,0.0,0.00265017667844523
STAR_SUBDWARF_F,0.0,0.0,0.0,0.015228426395939087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005076142131979695,0.05583756345177665,0.01015228426395939,0.05583756345177665,0.005076142131979695,0.005076142131979695,0.015228426395939087,0.0,0.005076142131979695,0.0,0.0,0.0,0.0,0.025380710659898477,0.005076142131979695,0.0,0.0,0.0,0.12690355329949238,0.09644670050761421,0.01015228426395939,0.0,0.02030456852791878,0.030456852791878174,0.005076142131979695,0.025380710659898477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005076142131979695,0.0,0.0,0.45685279187817257,0.02030456852791878
STAR_WHITE_DWARF,0.0,0.0,0.0005333333333333334,0.0021333333333333334,0.0,0.0,0.0,0.0,0.0,0.0018666666666666666,0.0,0.0,0.0,0.0002666666666666667,0.0002666666666666667,0.0005333333333333334,0.0072,0.0002666666666666667,0.0,0.0002666666666666667,0.010933333333333333,0.0026666666666666666,0.0002666666666666667,0.0,0.0005333333333333334,0.0026666666666666666,0.0,0.0002666666666666667,0.0,0.0005333333333333334,0.011466666666666667,0.0008,0.0029333333333333334,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0010666666666666667,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.0010666666666666667,0.0002666666666666667,0.0,0.0,0.0008,0.0016,0.9474666666666667
